epoch,accuracy,loss,val_accuracy,val_loss
0,0.3035312592983246,1.8669041395187378,0.3166147768497467,2.0140905380249023
1,0.5339630842208862,1.140790343284607,0.2526690363883972,2.322537660598755
2,0.6960188746452332,0.7603747248649597,0.2478870153427124,2.780496597290039
3,0.7889114022254944,0.5349222421646118,0.2382117509841919,2.8046493530273438
4,0.8328834772109985,0.4302346110343933,0.20596085488796234,2.96201491355896
5,0.8681961297988892,0.3470722436904907,0.23098309338092804,2.741755247116089
6,0.8870894908905029,0.29239726066589355,0.2945951819419861,2.4747166633605957
7,0.8913630247116089,0.30465617775917053,0.2368772178888321,2.9573733806610107
8,0.8984480500221252,0.2661605775356293,0.22608986496925354,2.987640380859375
9,0.9174538850784302,0.23782217502593994,0.18983541429042816,3.064441204071045
