epoch,accuracy,loss,val_accuracy,val_loss
0,0.1829012781381607,2.9417471885681152,0.2241399884223938,2.880511999130249
1,0.23690862953662872,2.846461772918701,0.2388736456632614,2.8168346881866455
2,0.2447599321603775,2.7887778282165527,0.25691720843315125,2.7671830654144287
3,0.2580200135707855,2.7455289363861084,0.260627418756485,2.737583875656128
4,0.26527613401412964,2.7177531719207764,0.26582562923431396,2.7148194313049316
5,0.27296990156173706,2.6935014724731445,0.2754538953304291,2.691969394683838
6,0.2695313096046448,2.6789464950561523,0.2658632695674896,2.6822309494018555
7,0.27051985263824463,2.669372320175171,0.27061018347740173,2.672267436981201
8,0.27363619208335876,2.658033847808838,0.2824687659740448,2.6604068279266357
9,0.2739159166812897,2.650967597961426,0.2590344250202179,2.6574926376342773
