epoch,accuracy,loss,val_accuracy,val_loss
0,0.3680555522441864,1.788895606994629,0.48813503980636597,1.4106833934783936
1,0.5400640964508057,1.2962464094161987,0.5838903784751892,1.1797223091125488
2,0.588942289352417,1.1461611986160278,0.6290106773376465,1.0792286396026611
3,0.6225961446762085,1.0547816753387451,0.658088207244873,0.9812195301055908
4,0.6485710740089417,0.9839730262756348,0.674298107624054,0.9171473979949951
5,0.6659321784973145,0.9274719953536987,0.7017045617103577,0.8590463399887085
6,0.6934428215026855,0.8587162494659424,0.6786430478096008,0.9180269241333008
7,0.7085336446762085,0.8214906454086304,0.6831550598144531,0.8758366107940674
8,0.7121394276618958,0.7995132803916931,0.7134023904800415,0.8003359436988831
9,0.7276976704597473,0.7697575092315674,0.7012032270431519,0.8351441025733948
10,0.7352430820465088,0.7453556060791016,0.7379679083824158,0.7385647892951965
11,0.7430555820465088,0.71629399061203,0.759358286857605,0.6897512078285217
12,0.7488648295402527,0.7005211114883423,0.730614960193634,0.747450053691864
13,0.7642227411270142,0.6710585951805115,0.7411430478096008,0.7126262187957764
14,0.7616186141967773,0.660632312297821,0.7286096215248108,0.7338433861732483
15,0.7713675498962402,0.6394853591918945,0.736798107624054,0.7277847528457642
16,0.7723023295402527,0.6384255290031433,0.7272727489471436,0.7911151051521301
17,0.7809829115867615,0.6127597093582153,0.7740641832351685,0.6304532885551453
18,0.7838541865348816,0.59653240442276,0.7531751394271851,0.7046838402748108
19,0.7892628312110901,0.5801917910575867,0.7747326493263245,0.6375076770782471
20,0.7950053215026855,0.5696942806243896,0.7770721912384033,0.6331026554107666
21,0.7971420884132385,0.5597492456436157,0.7742312550544739,0.644992470741272
22,0.8017494678497314,0.5537741184234619,0.7573529481887817,0.6720837950706482
23,0.8116319179534912,0.5335956811904907,0.7779077291488647,0.6439681649208069
24,0.8086938858032227,0.5268463492393494,0.7797459959983826,0.623066246509552
25,0.80982905626297,0.5226411819458008,0.7815842032432556,0.6196863651275635
26,0.8191105723381042,0.5121738314628601,0.7874331474304199,0.61882084608078
27,0.8251869678497314,0.4932217597961426,0.7653743028640747,0.6618257761001587
28,0.8240517973899841,0.4921993911266327,0.8008021116256714,0.5830034613609314
29,0.828458845615387,0.4727127254009247,0.7733957171440125,0.6617630124092102
